Date/Time,Building_type,Construction_period,retrofit_scenario,Hot water + Space Heating demand [J](Hourly),Space Heating demand [J](Hourly),Hot water demand [J](Hourly),,Electricity demand [J](Hourly) ,G [W](msquared)
 07/22  21:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,24379746.28,4211252.116,0
 07/22  22:00:00,SFH,2011-2015,No retrofit,2386163.191,0,2386163.191,22862742.66,4211252.116,0
 07/22  23:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 07/22  24:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/23  01:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/23  02:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/23  03:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/23  04:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,43.39
 07/23  05:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,158.14
 07/23  06:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,294.17
 07/23  07:00:00,SFH,2011-2015,No retrofit,1431697.914,0,1431697.914,24116338.81,8867180.293,443.27
 07/23  08:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,22614620.26,4211252.116,589.23
 07/23  09:00:00,SFH,2011-2015,No retrofit,0,0,0,1748935.639,969985.0368,704.54
 07/23  10:00:00,SFH,2011-2015,No retrofit,0,0,0,6729593.971,969985.0368,755.05
 07/23  11:00:00,SFH,2011-2015,No retrofit,0,0,0,10027728.28,969985.0368,799.29
 07/23  12:00:00,SFH,2011-2015,No retrofit,0,0,0,11952796.38,969985.0368,734.24
 07/23  13:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,43172969.87,8867180.293,703.78
 07/23  14:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,38876557.6,4211252.116,593.38
 07/23  15:00:00,SFH,2011-2015,No retrofit,0,0,0,13353171.79,969985.0368,446.62
 07/23  16:00:00,SFH,2011-2015,No retrofit,0,0,0,18886793.07,969985.0368,294.42
 07/23  17:00:00,SFH,2011-2015,No retrofit,0,0,0,17917437.13,969985.0368,160.18
 07/23  18:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,43071350.47,4211252.116,45.51
 07/23  19:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,38481306.35,8867180.293,0
 07/23  20:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,35061217.99,10419156.35,0
 07/23  21:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,28555526.46,4211252.116,0
 07/23  22:00:00,SFH,2011-2015,No retrofit,2386163.191,0,2386163.191,25314220.39,4211252.116,0
 07/23  23:00:00,SFH,2011-2015,No retrofit,0,0,0,311737.7135,1551976.059,0
 07/23  24:00:00,SFH,2011-2015,No retrofit,0,0,0,134635.7082,969985.0368,0
 07/24  01:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/24  02:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/24  03:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/24  04:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,25.57
 07/24  05:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,83.23
 07/24  06:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,172.02
